Flight,Depart time,Arrival time,Journey duration,Price
"Air India
AI-502/AI-642",13:30,23:20,9h 50m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['14,432', '15,014', '16,848']}"
"Vistara
UK-737/UK-776",15:45,23:25,7h 40m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['14,639', '15,221', '16,638']}"
"Air India
AI-636",14:30,18:05,3h 35m,"{'Offer': ['Flex', 'Best Value'], 'Price': ['14,669', '15,251']}"
"Air India
AI-767/AI-773",12:20,20:50,8h 30m,"{'Offer': ['Comfort', 'Comfort Plus', 'Best Value', ''], 'Price': ['14,671', '15,011', '15,253', '']}"
"Air India
AI-502/AI-610",13:30,21:10,7h 40m,"{'Offer': ['Comfort Plus', 'Best Value', 'Flex'], 'Price': ['15,062', '15,644', '17,163']}"
"Vistara
UK-819/UK-854",13:55,20:15,6h 20m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['15,100', '15,682', '17,095']}"
"Vistara
UK-819/UK-850",13:55,21:55,8h 00m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['15,100', '15,682', '17,095']}"
"Vistara
UK-817/UK-850",16:05,21:55,5h 50m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['15,152', '15,734', '17,147']}"
"Vistara
UK-747/UK-772",06:15,12:55,6h 40m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['16,579', '17,161', '18,575']}"
"Vistara
UK-819/UK-864",13:55,20:55,7h 00m,"{'Offer': ['Eco Standard', 'Best Value', 'Eco Flexi'], 'Price': ['17,158', '17,740', '19,153']}"
